mode,k,time_s,max_steps,checksum,hits,schedule,run
seq,1,5.347751,688,100689271,0,-,1
seq,1,3.463470,688,100689271,0,-,2
seq,1,1.754424,688,100689271,0,-,3
par,1,1.752925,688,100689271,0,static,1
par,1,1.758355,688,100689271,0,static,2
par,1,1.761514,688,100689271,0,static,3
par,2,0.897190,688,100689271,0,static,1
par,2,0.892746,688,100689271,0,static,2
par,2,0.900686,688,100689271,0,static,3
par,4,0.455938,688,100689271,0,static,1
par,4,0.454191,688,100689271,0,static,2
par,4,0.450728,688,100689271,0,static,3
par,8,0.280585,688,100689271,0,static,1
par,8,0.281711,688,100689271,0,static,2
par,8,0.283898,688,100689271,0,static,3
par,12,0.275690,688,100689271,0,static,1
par,12,0.249582,688,100689271,0,static,2
par,12,0.220018,688,100689271,0,static,3
fs_naive,6,0.306779,688,100689271,10706099,static,1
fs_naive,6,0.306707,688,100689271,10706099,static,2
fs_naive,6,0.304605,688,100689271,10706099,static,3
fs_pad,6,0.302489,688,100689271,10706099,static,1
fs_pad,6,0.303581,688,100689271,10706099,static,2
fs_pad,6,0.372163,688,100689271,10706099,static,3
par,12,0.270851,688,100689271,0,"static",1
par,12,0.236996,688,100689271,0,"static",2
par,12,0.223992,688,100689271,0,"static",3
par,12,0.206209,688,100689271,0,"static,1000",1
par,12,0.222868,688,100689271,0,"static,1000",2
par,12,0.219878,688,100689271,0,"static,1000",3
par,12,0.219379,688,100689271,0,"dynamic,100",1
par,12,0.206780,688,100689271,0,"dynamic,100",2
par,12,0.213805,688,100689271,0,"dynamic,100",3
par,12,0.220277,688,100689271,0,"dynamic,10000",1
par,12,0.207405,688,100689271,0,"dynamic,10000",2
par,12,0.205263,688,100689271,0,"dynamic,10000",3
par,12,0.209513,688,100689271,0,"guided",1
par,12,0.199508,688,100689271,0,"guided",2
par,12,0.199247,688,100689271,0,"guided",3
seq,1,1.759451,688,100689271,0,-,warm1
seq,1,1.759806,688,100689271,0,-,warm2
seq,1,1.768056,688,100689271,0,-,warm3
fs_naive,6,0.304318,688,100689271,10706099,static,rerun4
fs_pad,6,0.301467,688,100689271,10706099,static,rerun4
fs_naive,6,0.304502,688,100689271,10706099,static,rerun5
fs_pad,6,0.303873,688,100689271,10706099,static,rerun5
